Mountain,Metres,Feet,Range,Location and Notes
Mount Everest,8848,29029,Himalayas,Nepal/China
K2,8611,28251,Karakoram,Pakistan/China
Kangchenjunga,8586,28169,Himalayas,Nepal/India
Lhotse,8516,27940,Himalayas,Nepal – Climbers ascend Lhotse Face in climbing Everest
Makalu,8485,27838,Himalayas,Nepal
Cho Oyu,8188,26864,Himalayas,Nepal – Considered easiest eight-thousander
Dhaulagiri,8167,26795,Himalayas,Nepal – Presumed world's highest from 1808-1838
Manaslu,8163,26781,Himalayas,Nepal
Nanga Parbat,8126,26660,Himalayas,Pakistan
Annapurna,8091,26545,Himalayas,Nepal – First eight-thousander to be climbed (1950)
Gasherbrum I (Hidden peak; K5),8080,26509,Karakoram,Pakistan/China – Originally named K5
Broad Peak,8051,26414,Karakoram,Pakistan/China
Gasherbrum II (K4),8035,26362,Karakoram,Pakistan/China – Originally named K4
Shishapangma,8027,26335,Himalayas,China
